Title,Headline,Description,Chronicle Type,Author,Type,Date,URL,Publication,Highlight,Pull Quote Long,Pull Quote Short,Video Link,Events Database,Date_Format,Airtable Event Record ID,mw_Press_Headline,mw_Press_Description,mw_Press_Pull_Quote_Long,mw_Press_Pull_Quote_Short,my_Press_Author,mw_Press_Type,mw_Press_Date,mw_Press_URL,mw_Press_Publication,mw_Press_Video_Link,mw_Press_Event_Name,mw_Press_Airtable_Event_Record_ID,mw_Press_Highlight,Event Name Format (from Events Database),Autonumber
Press:1,Ava Luna and Zorch at MoHA,,,Bryan Parker,Review,2013-01-24,https://www.poppressinternational.com/2013/01/24/ava-luna-and-zorch-at-museum-of-human-achievement/,Pop Press International,,,,,"""Zorch, Ava Luna, Lean Hounds, Celestial Shore""",2013-01-24,recTwHwCheMZioOSY,Ava Luna and Zorch at MoHA,,,,Bryan Parker,Review,2013-01-23,https://www.poppressinternational.com/2013/01/24/ava-luna-and-zorch-at-museum-of-human-achievement/,Pop Press International,,"Zorch, Ava Luna, Lean Hounds, Celestial Shore",recTwHwCheMZioOSY,,"Zorch, Ava Luna, Lean Hounds, Celestial Shore",1
Press:2,Calculated Carelessness ,Calculated Carelessness,,,Listing,2013-04-03,http://glasstire.com/events/2013/04/03/calculated-carelessness/,Glasstire,,,,,Calculated Carelessness,2013-04-03,recIRnyfxwRH3GTkq,Calculated Carelessness ,Calculated Carelessness,,,,Listing,2013-04-02,http://glasstire.com/events/2013/04/03/calculated-carelessness/,Glasstire,,Calculated Carelessness,recIRnyfxwRH3GTkq,,Calculated Carelessness,2
Press:3,Calculated Carelessness,Okkervil River guitarist Lauren Gurgiolo gets arty,MUSIC POST,Jim Caligiuri,Review,2013-05-01,https://www.austinchronicle.com/daily/music/2013-05-01/calculated-carelessness/,Austin Chronicle,,,,,Calculated Carelessness,2013-05-01,recIRnyfxwRH3GTkq,Calculated Carelessness,Okkervil River guitarist Lauren Gurgiolo gets arty,,,Jim Caligiuri,Review,2013-04-30,https://www.austinchronicle.com/daily/music/2013-05-01/calculated-carelessness/,Austin Chronicle,,Calculated Carelessness,recIRnyfxwRH3GTkq,,Calculated Carelessness,3
Press:4,Studio Practice,"Canopy tenants love the Eastside artist studio complex, even if they aren't from the Eastside ... or artists",ARTS FEATURE,Matthew Irwin,Article,2013-05-03,https://www.austinchronicle.com/arts/2013-05-03/studio-practice/,Austin Chronicle,checked,"""Canopy became the subject of ridicule from artists and neighbors concerned that the project would provide for a certain type of creative person, while driving up prices throughout the neighborhood. Starting at $500 a month, critics say Canopy is out of range for most East Austin artists...Blue Genie founder Kevin Collins, who lives on the Eastside, says that Canopy brings value to the neighborhood, but not necessarily for longtime residents.

""[Artists are] kind of an insular community, so ..."" he says, trailing off. ""For longtime residents, the gentrification issue is very real. When they see the Canopy spaces, they think, 'There goes the neighborhood.'""

In fairness, Collins says that he's a supporter of Big Medium and its projects to promote Austin artists. He's just wary that too much attention will drive up prices, making affordable art space even more difficult to acquire. A number of artists that the Chronicle informally surveyed during the recent Fusebox Festival share that fear. ""I've been benefiting from cheap studio space for 15 years,"" Collins says. ""Do I see my neighbors reflected [in Canopy]? Most of the artists I know still work in their garages.""

Little acknowledged that about half of Canopy's residents live elsewhere in Austin, but he sees that as positive. People are willing to drive to the Eastside now, whereas 10 years ago, they would go out of their way to avoid streets east of I-35.","Canopy became the subject of ridicule from artists and neighbors concerned that the project would provide for a certain type of creative person, while driving up prices throughout the neighborhood. Starting at $500 a month, critics say Canopy is out of range for most East Austin artists - 2013",,,2013-05-03,,Studio Practice,"Canopy tenants love the Eastside artist studio complex, even if they aren't from the Eastside ... or artists","""Canopy became the subject of ridicule from artists and neighbors concerned that the project would provide for a certain type of creative person, while driving up prices throughout the neighborhood. Starting at $500 a month, critics say Canopy is out of range for most East Austin artists...Blue Genie founder Kevin Collins, who lives on the Eastside, says that Canopy brings value to the neighborhood, but not necessarily for longtime residents.

""[Artists are] kind of an insular community, so ..."" he says, trailing off. ""For longtime residents, the gentrification issue is very real. When they see the Canopy spaces, they think, 'There goes the neighborhood.'""

In fairness, Collins says that he's a supporter of Big Medium and its projects to promote Austin artists. He's just wary that too much attention will drive up prices, making affordable art space even more difficult to acquire. A number of artists that the Chronicle informally surveyed during the recent Fusebox Festival share that fear. ""I've been benefiting from cheap studio space for 15 years,"" Collins says. ""Do I see my neighbors reflected [in Canopy]? Most of the artists I know still work in their garages.""

Little acknowledged that about half of Canopy's residents live elsewhere in Austin, but he sees that as positive. People are willing to drive to the Eastside now, whereas 10 years ago, they would go out of their way to avoid streets east of I-35.","Canopy became the subject of ridicule from artists and neighbors concerned that the project would provide for a certain type of creative person, while driving up prices throughout the neighborhood. Starting at $500 a month, critics say Canopy is out of range for most East Austin artists - 2013",Matthew Irwin,Article,2013-05-02,https://www.austinchronicle.com/arts/2013-05-03/studio-practice/,Austin Chronicle,,,,1,,4
Press:5,Gruesome Playground Injuries,Two wounded friends walk a line between nostalgia and regret in Street Corner Arts' staging of Rajiv Joseph's play,ARTS REVIEW,Matthew Irwin,Review,2013-05-31,https://www.austinchronicle.com/arts/2013-05-31/gruesome-playground-injuries/,Austin Chronicle,,,,,Gruesome Playground Injuries,2013-05-31,rec9vIGO2KzRz9rQQ,Gruesome Playground Injuries,Two wounded friends walk a line between nostalgia and regret in Street Corner Arts' staging of Rajiv Joseph's play,,,Matthew Irwin,Review,2013-05-30,https://www.austinchronicle.com/arts/2013-05-31/gruesome-playground-injuries/,Austin Chronicle,,Gruesome Playground Injuries,rec9vIGO2KzRz9rQQ,,Gruesome Playground Injuries,5
Press:6,"Best bets: 'Harvey' at Zach Theatre, plus music, movies and more","The Museum of Human Achievement, Springdale and Lyons roads. 512-298-9776, www.thehattreetheatricals.com. “Shipwrecked!” The amazing ",,,Listing,2013-06-05,https://www.statesman.com/story/news/2013/06/05/best-bets-harvey-at-zach-theatre-plus-music-movies-and-more/10056958007/,Statesmen,,,,,,2013-06-05,,"Best bets: 'Harvey' at Zach Theatre, plus music, movies and more","The Museum of Human Achievement, Springdale and Lyons roads. 512-298-9776, www.thehattreetheatricals.com. “Shipwrecked!” The amazing ",,,,Listing,2013-06-04,https://www.statesman.com/story/news/2013/06/05/best-bets-harvey-at-zach-theatre-plus-music-movies-and-more/10056958007/,Statesmen,,,,,,6
Press:7,"Arts calendar, June 13-20","The Museum of Human Achievement, Springdale and Lyons roads. 512-298-9776, www.thehattreetheatricals.com. Esther's Follies. Musical comedy ",,,Listing,2013-06-12,https://www.statesman.com/story/news/2013/06/12/arts-calendar-june-13-20/10124752007/,Statesmen,,,,,,2013-06-12,,"Arts calendar, June 13-20","The Museum of Human Achievement, Springdale and Lyons roads. 512-298-9776, www.thehattreetheatricals.com. Esther's Follies. Musical comedy ",,,,Listing,2013-06-11,https://www.statesman.com/story/news/2013/06/12/arts-calendar-june-13-20/10124752007/,Statesmen,,,,,,7
Press:8,"Best Bets, June 13: The Trishas at Shady Grove, classic summer ...","$10-25. The Museum of Human Achievement, Springdale and Lyons roads. 512-298-9776, www.thehattreetheatricals.com. Soul to Sole Tap Festival.",,,Listing,2013-06-12,https://www.statesman.com/story/news/2013/06/12/best-bets-june-13-the-trishas-at-shady-grove-classic-summer-movies-motorcycles-and-more/10152555007/,Statesmen,,,,,,2013-06-12,,"Best Bets, June 13: The Trishas at Shady Grove, classic summer ...","$10-25. The Museum of Human Achievement, Springdale and Lyons roads. 512-298-9776, www.thehattreetheatricals.com. Soul to Sole Tap Festival.",,,,Listing,2013-06-11,https://www.statesman.com/story/news/2013/06/12/best-bets-june-13-the-trishas-at-shady-grove-classic-summer-movies-motorcycles-and-more/10152555007/,Statesmen,,,,,,8
Press:9,Gay Place: AGL + AGL,The AGLs are on benders this week.,COLUMN,Kate X Messer,Listing,2013-06-14,https://www.austinchronicle.com/columns/2013-06-14/gay-place-agl-agl/,Austin Chronicle,,,,,,2013-06-14,,Gay Place: AGL + AGL,The AGLs are on benders this week.,,,Kate X Messer,Listing,2013-06-13,https://www.austinchronicle.com/columns/2013-06-14/gay-place-agl-agl/,Austin Chronicle,,,,,,9
Press:10,Black Milk Returns,Detroit MC spins tonight at the Museum of Human Achievement,MUSIC POST,Chase Hoffberger,Article,2013-06-28,https://www.austinchronicle.com/daily/music/2013-06-28/black-milk-returns/,Austin Chronicle,,,,,Exploded Drawing XXI,2013-06-28,recL690K2WfUKeuMM,Black Milk Returns,Detroit MC spins tonight at the Museum of Human Achievement,,,Chase Hoffberger,Article,2013-06-27,https://www.austinchronicle.com/daily/music/2013-06-28/black-milk-returns/,Austin Chronicle,,Exploded Drawing XXI,recL690K2WfUKeuMM,,Exploded Drawing XXI,10
